"filename", "language", "HTML", "Python", "JavaScript", "CSS", "Markdown", "SQL", "JSON", "comment", "blank", "total"
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\.vs\VSWorkspaceState.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\app.py", "Python", 0, 444, 0, 0, 0, 0, 0, 16, 30, 490
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\bd.sql", "SQL", 0, 0, 0, 0, 0, 97, 0, 0, 13, 110
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\controlador_base_datos.py", "Python", 0, 43, 0, 0, 0, 0, 0, 0, 6, 49
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\propiedades.py", "Python", 0, 151, 0, 0, 0, 0, 0, 4, 14, 169
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\rentas.py", "Python", 0, 93, 0, 0, 0, 0, 0, 5, 12, 110
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\solicitudes_aprobacion.py", "Python", 0, 117, 0, 0, 0, 0, 0, 18, 10, 145
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\anuncio.css", "CSS", 0, 0, 0, 249, 0, 0, 0, 14, 43, 306
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\aprobarPropiedades.css", "CSS", 0, 0, 0, 117, 0, 0, 0, 4, 25, 146
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\base.css", "CSS", 0, 0, 0, 205, 0, 0, 0, 9, 45, 259
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\casaIndividual.css", "CSS", 0, 0, 0, 225, 0, 0, 0, 8, 47, 280
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\index.css", "CSS", 0, 0, 0, 153, 0, 0, 0, 11, 28, 192
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\informacionRenta.css", "CSS", 0, 0, 0, 91, 0, 0, 0, 6, 15, 112
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\login.css", "CSS", 0, 0, 0, 133, 0, 0, 0, 4, 20, 157
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\pagoRenta.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\pantallaEmergente.css", "CSS", 0, 0, 0, 98, 0, 0, 0, 3, 23, 124
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\propiedades.css", "CSS", 0, 0, 0, 206, 0, 0, 0, 8, 40, 254
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\registro.css", "CSS", 0, 0, 0, 183, 0, 0, 0, 1, 26, 210
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\css\subirPropiedadSegundoPaso.css", "CSS", 0, 0, 0, 99, 0, 0, 0, 6, 21, 126
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\js\anuncio.js", "JavaScript", 0, 0, 238, 0, 0, 0, 0, 87, 39, 364
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\js\mensajeria.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\static\js\pantallaEmergente.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\404.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\anuncioExitoso.html", "HTML", 60, 0, 0, 0, 0, 0, 0, 3, 0, 63
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\aprobarPropiedades.html", "HTML", 106, 0, 0, 0, 0, 0, 0, 2, 5, 113
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\base.html", "HTML", 132, 0, 0, 0, 0, 0, 0, 17, 7, 156
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\casaIndividual.html", "HTML", 234, 0, 0, 0, 0, 0, 0, 26, 16, 276
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\casaRentada.html", "HTML", 142, 0, 0, 0, 0, 0, 0, 11, 4, 157
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\index.html", "HTML", 82, 0, 0, 0, 0, 0, 0, 8, 4, 94
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\informacionRenta.html", "HTML", 97, 0, 0, 0, 0, 0, 0, 4, 12, 113
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\login.html", "HTML", 40, 0, 0, 0, 0, 0, 0, 2, 1, 43
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\pagoRenta.html", "HTML", 47, 0, 0, 0, 0, 0, 0, 1, 2, 50
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\propiedades.html", "HTML", 115, 0, 0, 0, 0, 0, 0, 6, 1, 122
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\propiedadesAdmin.html", "HTML", 107, 0, 0, 0, 0, 0, 0, 9, 1, 117
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\propiedadesPersonales.html", "HTML", 152, 0, 0, 0, 0, 0, 0, 13, 1, 166
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\registro.html", "HTML", 89, 0, 0, 0, 0, 0, 0, 0, 0, 89
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\rentasPrevias.html", "HTML", 69, 0, 0, 0, 0, 0, 0, 5, 1, 75
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\solicitud.html", "HTML", 131, 0, 0, 0, 0, 0, 0, 9, 4, 144
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\templates\subirPropiedad.html", "HTML", 373, 0, 0, 0, 0, 0, 0, 41, 8, 422
"c:\Users\jesus.DESKTOP-PC\OneDrive - Universidad de Sonora\7mo S\PDS II\Rent-a-place\usuarios.py", "Python", 0, 111, 0, 0, 0, 0, 0, 3, 13, 127
"Total", "-", 1989, 959, 266, 1770, 1, 97, 7, 364, 545, 5998